"id";"name";"status";"address";"city";"state";"zip";"phone";"contact";"district_office";"do_phone";"license_no";"Email Address";"Website";"Details";"Services";"Adoption Process"
;"Open Adoption & Family Services - Portland";"Licensed";"5200 SW Macadam #250";"Portland";"OR";97239;(503) 226-4870;"Shari Levine";;;;"info@openadopt.org";"http://www.openadopt.org/";"Open Adoption & Family Services, (OA&FS), is a private, nonprofit adoption agency with a progressive approach to building healthy families. We're pro-choice, dedicated to promoting reproductive choices; offer free all-options pregnancy counseling to women and couples; plan adoptions at no cost to birthparents and offer lifelong services for our clients. OA&FS is the first and only agency in the Pacific Northwest founded on the philosophy of openness in adoption. We do more domestically-born newborn placements than any other agency in the region. Our first office opened in Eugene, Oregon in 1985. We're now licensed in both Oregon and Washington and provide services throughout the entire United States. Our offices are located in Seattle, Portland and Eugene. We're also part of an innovative partnership with Friends in Adoption - the National Pro-Choice Adoption Collaborative. From this platform our agencies work with attorneys nationwide to build a solid foundation for the children of adoption, as well as enriching the birth and adoptive parents' experience.";"Adoption";"1. Free Information Packet 2. Adoption Information Meeting 3. Pre-adoption Seminar 4. Application and Intake Interview 5. Homestudy and Family Preparation 6. Pool Entry 7. Adoption Planning 8. Placement 9. Finalization"
;"Open Adoption & Family Services - Eugene";"Licensed";"315 West 10th Ave.";"Eugene";"OR";97401;(541) 343-4825;"Shari Levine";;;;"info@openadopt.org";"http://www.openadopt.org/";"Open Adoption & Family Services, (OA&FS), is a private, nonprofit adoption agency with a progressive approach to building healthy families. We're pro-choice, dedicated to promoting reproductive choices; offer free all-options pregnancy counseling to women and couples; plan adoptions at no cost to birthparents and offer lifelong services for our clients. OA&FS is the first and only agency in the Pacific Northwest founded on the philosophy of openness in adoption. We do more domestically-born newborn placements than any other agency in the region. Our first office opened in Eugene, Oregon in 1985. We're now licensed in both Oregon and Washington and provide services throughout the entire United States. Our offices are located in Seattle, Portland and Eugene. We're also part of an innovative partnership with Friends in Adoption - the National Pro-Choice Adoption Collaborative. From this platform our agencies work with attorneys nationwide to build a solid foundation for the children of adoption, as well as enriching the birth and adoptive parents' experience.";"Adoption";"1. Free Information Packet 2. Adoption Information Meeting 3. Pre-adoption Seminar 4. Application and Intake Interview 5. Homestudy and Family Preparation 6. Pool Entry 7. Adoption Planning 8. Placement 9. Finalization"
;"Open Adoption & Family Services - Seattle";"Licensed";"2815 Eastlake Avenue E., Suite 160";"Seattle";"WA";98102;(206) 782-0442;"Shari Levine";;;;"info@openadopt.org";"http://www.openadopt.org/";"Open Adoption & Family Services, (OA&FS), is a private, nonprofit adoption agency with a progressive approach to building healthy families. We're pro-choice, dedicated to promoting reproductive choices; offer free all-options pregnancy counseling to women and couples; plan adoptions at no cost to birthparents and offer lifelong services for our clients. OA&FS is the first and only agency in the Pacific Northwest founded on the philosophy of openness in adoption. We do more domestically-born newborn placements than any other agency in the region. Our first office opened in Eugene, Oregon in 1985. We're now licensed in both Oregon and Washington and provide services throughout the entire United States. Our offices are located in Seattle, Portland and Eugene. We're also part of an innovative partnership with Friends in Adoption - the National Pro-Choice Adoption Collaborative. From this platform our agencies work with attorneys nationwide to build a solid foundation for the children of adoption, as well as enriching the birth and adoptive parents' experience.";"Adoption";"1. Free Information Packet 2. Adoption Information Meeting 3. Pre-adoption Seminar 4. Application and Intake Interview 5. Homestudy and Family Preparation 6. Pool Entry 7. Adoption Planning 8. Placement 9. Finalization"
;"Red Thistle Adoptions";"Licensed";"P.O. Box 5428";"Salem";"OR";97304;(503) 508-9251;;;;;"redthistleadoptions@yahoo.com";"http://www.redthistleadoptions.com/";"The mission of Red Thistle Adoptions is to unite children with adoptive families, while making the adoption process as affirmative and affordable as possible. If you have been thinking of increasing your family trough adoption or wanting to learn more about the adoption process, we are here to help. Red Thistle Adoption provides services for Oregon residents considering an independent adoption, working with a birthmother, or adopting through an out-of-state adoption agency. We consider it a privilege to join with prospective parents as they celebrate family through adoption. Red Thistle Adoptions is a non-profit, licensed adoption agency located in Salem, Oregon. We understand growing a family through adoption can be a prickly business. Like the hurt inflicted by the spines on a thistle, the adoption process can also be painful. Yet both the plant and the nature of the undertaking can ultimately bring untold joy to the recipient. We believe every child deserves and needs a permanent, loving home. Our specialty is enabling prospective families to complete Oregon requirements for domestic or international adoptions in an expedient and professional manner. Red Thistle Adoptions is dedicated to fulfilling the biblical adage, “God sets the lonely in families” (Psalm 68:6). ";"Adoption";
;"Hearts of Fire Counseling and Adoption Services";"Licensed";"6131 SW Tower Way";"Portland";"OR";97221;(503) 246-1918;"Sandy Cassidy";;;;"scassidy@comcast.net";"http://www.heartsoffire.com/";;"Home Studies; Post-placement reports; Counseling with an emphasis on adoption; Adoptive family educational and social gatherings";
;"American World Adoption Association";"Licensed";"4855 SE Woodland Way";"Gresham";"OR";97080;(800) 429-3369;;;;;"oregon@awaa.org";"http://www.awaa.org/";"AWAA-OR is licensed and Hague/COA accredited in the state of Oregon to provide home study services for adoption. Although our primary role is to provide home study services for families adopting through America World, we are also able to prepare home study and post adoption reports for families using other placement agencies and who meet America World's agency requirements. We are able to provide services for families living throughout the state. ";"Home Study; Post Adoption";
;"Journeys of the Heart Adoption Services";"Licensed";"1511 Third Avenue, Suite 308";"Seattle";"WA";98101;(800) 876-0575;;;;;"info@journeysoftheheart.net";"http://www.journeysoftheheart.net/";"Journeys of the Heart Adoption Services (JOH) is passionate about adoption – we truly believe that adoption is a win-win situation for the child and the adopting parents and playing a role in it is a tremendous joy.";"Adoption";
;"A Baby Step Adoption - Reading";"Licensed";"527 Elm Street";"Reading";"PA";19601;(888) 505-2367;"Barbara B. Casey";;;;"info@ababystepadoption.com";"http://ababystepadoption.com/";"Together with her staff, noted adoption attorney and recipient of the 2008 Angel in Adoption Award, Barbara Casey will provide you with individualized attention to meet your needs. A Baby Step Adoption Agency, Adoption Associates, LLC & Adoption Step, a licensed non-profit, finalizes up to 100 adoptions per year for all types of families. We have placed hundreds of infants and children in the United States. We can also assist or provide legal services in adoption agency or foreign adoption, as well as stepparent, single parent, same sex, LGBT families and relative adoptions. A Baby Step Adoption Agency has recently expanded to include assisted reproductive law, including embryo adoption and surrogacy. We provide legal representation and casework support for gestational carriers, intended parents and donors. We can help you review and understand your contracts and help you navigate the entire adoption process. A Baby Step Adoption Agency has incredibly supportive caseworkers who work closely with each family throughout their adoption to be sure they have all the support they need. We share a passion for helping people create their forever families by guiding them through the adoption process and helping birthmothers and birthfathers make the right choice for themselves and their babies and children.";"Adoption";"1. Contact A Baby Step Adoption to learn about adoption and your family building options: Independent vs. agency vs. public options; Surrogacy / Gestational Carriers; Embryo adoption. 2. Attend a free information session or set up your private education meeting. 3. Meet your caseworker, your support system during the adoption and beyond. 4. Complete your Home Study. 5. Join our match program. 6. Learn about financial resources available. 7. Birthparent selection. 8. Official match. 9.   Hospital plan, birth, discharge and arrival home. 10. ICPC approvals and post placement supervision. 11. Legal services:  Consents / surrenders / relinquishments / TPRs; Open Adoption Agreements; Finalization; Post adoption services, new birth certificates and social security cards"
;"A Baby Step Adoption - Bryn Mawr";"Licensed";"368 Thornbrook Avenue";"Bryn Mawr";"PA";19010;(888) 505-2367;"Barbara B. Casey";;;;"info@ababystepadoption.com";"http://ababystepadoption.com/";"Together with her staff, noted adoption attorney and recipient of the 2008 Angel in Adoption Award, Barbara Casey will provide you with individualized attention to meet your needs. A Baby Step Adoption Agency, Adoption Associates, LLC & Adoption Step, a licensed non-profit, finalizes up to 100 adoptions per year for all types of families. We have placed hundreds of infants and children in the United States. We can also assist or provide legal services in adoption agency or foreign adoption, as well as stepparent, single parent, same sex, LGBT families and relative adoptions. A Baby Step Adoption Agency has recently expanded to include assisted reproductive law, including embryo adoption and surrogacy. We provide legal representation and casework support for gestational carriers, intended parents and donors. We can help you review and understand your contracts and help you navigate the entire adoption process. A Baby Step Adoption Agency has incredibly supportive caseworkers who work closely with each family throughout their adoption to be sure they have all the support they need. We share a passion for helping people create their forever families by guiding them through the adoption process and helping birthmothers and birthfathers make the right choice for themselves and their babies and children.";"Adoption";"1. Contact A Baby Step Adoption to learn about adoption and your family building options: Independent vs. agency vs. public options; Surrogacy / Gestational Carriers; Embryo adoption. 2. Attend a free information session or set up your private education meeting. 3. Meet your caseworker, your support system during the adoption and beyond. 4. Complete your Home Study. 5. Join our match program. 6. Learn about financial resources available. 7. Birthparent selection. 8. Official match. 9.   Hospital plan, birth, discharge and arrival home. 10. ICPC approvals and post placement supervision. 11. Legal services:  Consents / surrenders / relinquishments / TPRs; Open Adoption Agreements; Finalization; Post adoption services, new birth certificates and social security cards"
;"A Brave Choice";"Licensed";"1011 Cedargrove Road";"Wynnewood";"PA";19096;(610) 642-7182;;;;;;;;"Adoption";
