"id";"name";"status";"address";"city";"state";"zip";"phone";"contact";"district_office";"do_phone";"license_no";"Email Address";"Website";"Details";"Services";"Adoption Process"
;"Louisiana Baptist Children's Home & Family Ministries - Monroe";"Licensed";"7200 DeSiard Street";"Monroe";"LA";71203;"(318) 343-2244";"Beth Green";;;2309;"beth@lbch.org";"http://www.connect127.org/";"Connect 1:27, a ministry of Louisiana Baptist Children's Home & Family Ministries, is based upon God's command of James 1:27 ""Religion that our Father accepts as pure and faultless is this: to look after orphans and widows in their distress and to keep oneself from being polluted by the world.”";"Foster/Adoption Services; Vision Seminars; Ministry Workshops; Mission Trips";
;"Open Arms Adoption Agency";"Licensed";"7330 Fern Avenue, Suite 204";"Shreveport";"LA";71105;(318) 798-7664;"D. Missy Everson";;;12154;"Dmeapc@aol.com";"http://www.openarmsadoption.com/";"This agency was established to provide contracted services to any or all members of the adoption triad: child, birth parents and adoptive parents, at least one of whom resides in North Louisiana. You may self refer or be referred by your agency or attorney. You may be interested in identified adoption, open adoption, traditional adoption, independent adoption or international adoption, or you may be in the beginning stages and need your questions answered. You will receive personal attention, flexibility and individualized services through an experienced and ethical professional with over 20 years experience in this field.";"Birthparent Pre-Surrender Counseling; Birthparent Medical/Genetic Background Collection; Birthparent Counseling; Adoption Home Study - Domestic and International; Adoption Home Study Update; Post Placement Supervision; Post Finalized Counseling and Crisis Intervention Services; Case Management Services; Special Needs, Older Child or Adolescent Adoption";
;"St. Elizabeth Foundation";"Licensed";"8054 Summa Ave, Suite A";"Baton Rouge";"LA";70809;(225) 769-8888;"Teri James Casso";;;2414;;"http://www.stelizabethfoundation.org/";"St. Elizabeth Foundation is a Baton Rouge adoption agency that provides confidential, comprehensive counseling services to those facing an unplanned pregnancy in Louisiana. We also provide medical care, counseling, and continuing education for our birthparents and adoptive parents. St. Elizabeth Foundation has been open since 1988. We are licensed by the State of Louisiana Adoption Laws & Procedures. We offer adoption services in New Orleans, Lafayette, Baton Rouge and across Louisiana. We tailor the adoption process to the wishes of the birthparent, not the adopting parents. At St. Elizabeth Foundation, we mainly do variations of what are called open adoptions. In an open adoption, it is the birthparent who is able to choose the adopting parents and choose the relationship and/or desired frequency and method of future communication with the adoptive parents and the child. We also serve those seeking to build a family through adoption, guiding them through our step-by-step process. If any of our experienced adoption staff can be of assistance to you, please contact us. We are happy to answer your questions. If you are looking to create the best future for yourself and baby or are looking to build a family through adoption, adoption is a wonderful option. We recognize that adoption is a lifelong process, so we make a commitment to you that we will always be available for you, for your child, and for the adoptive parents, even years after the adoption is complete.";"Adoption Services";
;"Volunteers of America Greater New Orleans - Adoption Program";"Licensed";"320 Hammond Hwy., Ste. 300";"Metairie";"LA";70005;(504) 836-8714;"Lori Arceneaux";;;13048;;"http://www.voagno.org/";"Since 1942, Volunteers of America’s Adoption Program has helped create thousands of loving families through adoption. As a licensed adoption agency, Volunteers of America works with birth parents and adoptive parents through all aspects of adoption – offering openness in adoption, assistance with accessing medical care, free counseling and follow-up support.";"Adoption Services";
;"Volunteers of America Greater Baton Rouge - Pregnancy and Adoption Services";"Licensed";"2119 Oak Park Boulevard";"Lake Charles";"LA";70601;(337) 497-0034;;;;11182;"info@voagbr.org";"http://www.voagbr.org/";"The Pregnancy and Adoption Services program in Southwest Louisiana offers options for birthmoms and helps guide families who are seeking to adopt. As a licensed non-profit adoption agency, Volunteers of America can arrange all legal, medical and financial and record-keeping requirements including pre-placement home studies. Volunteers of America gives families the support they need when they decide to adopt. This is a special time in your life and we're glad to be there for you as you mark this milestone. We will provide the common ground where loving parents come together to raise a child in love and security. ";"Adoption Services";
;"Private Adoptions";;"9771 Jefferson Hwy";"Baton Rouge";"LA";70809;(225) 293-7177;;;;;;"http://www.privateadoptionsbr.com/";"Over the years, Private Adoptions has come to understand the critical importance of education and counseling (both before and after adoption) to adopting, placing, and adoptive families. We make every effort to further ensure that our clients are at least given the opportunity to attend classes and counseling sessions. ";"In-House Pre-Adoption Education and Counseling; Post-Adoption Services; Provide Referrals to Educators and Counselors (Pre- and Post-Adoption)";
;"Acadia Adoption Center LLC";"Licensed";"111 Lafayette Center";"Kennebunk";"ME";"04043";(877) 723-6789;"Laura Nemeyer";;;;"info@acadiaadoptioncenter.com";"http://www.acadiaadoptioncenter.com/";"The process of adoption can generate awe and worry, can be anxiety provoking and also wonderful, enchanting, and full of mystery. We are committed to providing you with as much support and help as you feel you need, as you investigate, make decisions about, and proceed through this process. Acadia Adoption Center (AAC), a licensed adoption agency, will not discriminate on the basis of age, gender, ethnicity, race, religion, sexual orientation, gender identity, gender expression, marital status, or disability.";"Domestic Infant Placement; International placement referrals; Pre-placement information and support; Home Studies;  Consultation and support through the placement process; Post placement supervision; Referral for legal representation for adoption finalization; Post adoption consultation and family therapy; Consultation and support through the search process";
;"China Adoptions With Love, Inc.";"Licensed";"110 Main St., Suite 1300A";"Saco";"ME";"04072";(207) 284-1400;;;;;;"http://chinaadoption.org/";"China Adoption with Love, Inc. was established in 1995 in response to the increasing need for adoption services from China. We are accredited by the Council on Accreditation (COA). We are a licensed child placement agency in Massachusetts, a 501(c)(3) federal nonprofit organization and fully registered with the China Center of Adoption Affairs. We are also now licensed in Florida, Maine, Rhode Island, and New Hampshire! This means that we are able to conduct home studies and post adoption services only in those states, however, WE ARE ABLE TO PLACE IN ALL 50 STATES!";"Services limited to Chinese International Adoptions";"1. Attend individual Orientation/Informational Meeting 2. Apply to CAWLI with completed application. CAWLI will then email you our Intake Package. 3. Complete home study process and gather all documents at the same time. A social worker is assigned following the Intake meeting & once we receive the home study/post adoption fee. 4. Apply to the USCIS with a completed I-800A form and supporting documents. A completed, original home study shall also be included. 5. About 4 weeks after the USCIS receives your application and home study, you will receive a letter asking you to come in for fingerprinting. Everyone over the age of 18 in your home must go. During this time, have your documents notarized, certified by the states where they are issued and authenticated by the Chinese Consulate Office that serves your state. 6. About 6-8 weeks from receipt of your home study, I-800A, and fingerprinting, USCIS sends your approval (I-171-H or I-797) to you. 7. Processing your Dossier. After you have your documents ready, you must have your documents notarized, certified and authenticated. 8. CAWLI then sends your Dossier To China (DTC date). You are now considered a “Waiting Family.” You will be encouraged to contact other DTC families and will automatically receive e-mail updates on a monthly basis from the agency when we receive new referrals. 9. Referral wait - varies depending on the type of child you wish to adopt.  Please contact us for more information regarding this time frame. Our agency shall include your family in our effort to find homes for the children in the CCCWA waiting children program at your request before and after we send your dossier to China. 10. After we received the Letter of Acceptance from the CCCWA, It is time for you to apply for I-800 conditional pre-approval to USCIS. It takes about 1 months to get the approval. Then we send the I-800 approval and the LOA (with your signature) to the American Consulate in Guangzhou for Article 5 approval (issued in 2 weeks). Then the Article 5 approval will be sent to the CCCWA for travel notice. 11. Travel to China. It takes about 2-4 weeks for the CCCWA to process your Travel Notice. Once we get your travel approval, we can request visa appointments for you with the American Consulate in Guangzhou. Once the date is confirmed we are able to set final travel dates. Typically, we have travel dates about 2 weeks before your departure dates. Please be advised that this time frame is subject to change (weather, holidays, etc.). 12. Post Adoption Services. Families are required by CCCWA to do 6 post adoption reports (with pictures of your child) at 6 months, 12 months, and 2 years with your social worker. The final three reports at 3 years, 4 years, and 5 years can be wirrten by the parents themselves."
;"Families And Children Together";"Licensed";"304 Hancock Street, Suite 2B";"Bangor";"ME";"04401";(207) 941-2347;"Beverly Daniels";;;;"info@familiesandchildren.org";"http://www.familiesandchildren.org/";"Families And Children Together, (F.A.C.T.), was created in 1993 by a group of foster parents and social workers. Their mission was, and remains, to create a family-focused agency that encourages and fosters the development and healing of children facing emotional and behavioral challenges. Our Adoption program is committed to working with families before and after they bring a child into their family.";"Pre-placement home studies";
;"Good Samaritan Agency";"Licensed";"100 Ridgewood Dr.";"Bangor";"ME";"04401";(207) 942-7211;;;;;;"http://www.goodsamaritanbangor.org/";"Good Samaritan Agency is the oldest agency in Maine licensed to place children. The agency, established in 1902, is private, non-profit and non-sectarian. At Good Samaritan Agency, we believe that every child needs and deserves the security of a permanent, loving family. We further believe there are many individuals and couples who want to build families by responding to the needs of children who do not have stable homes. Since 1909, we’ve been matching the needs of children and families through adoption. At Good Samaritan Agency, we provide a full service in-state domestic adoption program. We also work with out-of-state agencies to assist in the placement of children with Maine families. For families seeking to adopt internationally, Good Samaritan Agency, may be able to complete your homestudy and post-placement services. Good Samaritan Agency can also complete private homestudies for families working privately towards an adoption.";"In-state Domestic Adoption; Out-of-State Domestic Adoption; International Adoption";"Good Samaritan Agency begins the process with individual adoption informational sessions. This gives your family a chance to sit down with an adoption caseworker and discuss the process and ask questions. Adoption informationals are scheduled on an individual basis. Once a family has decided to work with Good Samaritan Agency, they must then submit a formal adoption application packet. As part of the application packet, adoptive applicants are required to write autobiographies, complete medical examinations, provide references, financial documentation, and releases for the agency to conduct background checks on all adults living in the household. Once your application packet has been processed and all background checks have cleared, you will be assigned to an adoption caseworker. The caseworker will begin the homestudy with your family. The homestudy is an in-depth evaluation of your life experiences, problem solving abilities and motivation for adoption. The homestudy uses information gathered in the application as well as a series of interviews, both individually and jointly, and a home visit. All homestudies are reviewed in a peer review session by all casework staff before approval is granted. Once the homestudy is approved, you are now an approved adoptive family, waiting for a placement. After a child is placed in your home for the purpose of adoption, your caseworker will continue to monitor your adjustment by meeting with your family as required and completing the post-placement supervision reports. This supervision period is defined by law and is typically 6 months in length. After the required supervision period, families can legalize the adoption through the Probate Court system. Good Samaritan Agency will assist your family with the legalization process."
