"id";"name";"status";"address";"city";"state";"zip";"phone";"contact";"district_office";"do_phone";"license_no";"Email Address";"Website";"Details";"Services";"Adoption Process"
;"Homestudies and Adoption Placement Services";"Licensed";"668 American Legion Dr";"Teaneck";"NJ";" 07666";(201) 836-5554;;;;;"info@haps.org";"http://www.haps.org/";"HAPS is a Hague accredited, New Jersey and New York licensed adoption agency. HAPS began in 1982 by providing homestudy services and soon after began providing international and domestic adoption services. To date we have worked in countries such as Romania, Guatemala, Russia, Bulgaria, Colombia, Chile, Honduras, El Salvador, Kazakhstan and China as well as the United States. Our current placement programs include international adoptions in China, Bulgaria, Ukraine, Jamaica and Guyana and domestic adoptions in the United States.  We also have partnership programs for international adoption from Haiti, Korea, Kyrgyzstan and Latvia!";"International and Domestic Adoption Services; Pre-Adoption Homestudies for Domestic or International Adoption; Reports Requested by The Court for Adoption Proceedings; Birthparent Pre-Placement Counseling for Agency or Independent Placements; Post-Placement Or Post-Adoption Services";
;"Jewish Family Service of Central New Jersey";"Licensed";"655 Westfield Avenue";"Elizabeth";"NJ";"07208";(908) 352-8375;;;;;"info@JFSCentralNJ.org";"http://jfscentralnj.org/";"If you are thinking about adoption, the professional experts in our NJ Certified Adoption Department can educate and support you in the creation of your adoption plan. We provide comprehensive services including home studies and post-placement supervision reports for domestic adoptions. Additionally, our compassionate staff provides pre and post adoption counseling services to children and their families.";"Home Studies and Post-Placement Supervision Reports for Domestic Adoptions; Pre and Post Adoption Counseling Services to Children and their Families";
;"Jewish Family Services of Middlesex County";"Licensed";"32 Ford Avenue, Second Floor";"Milltown";"NJ";" 08850";(732) 777-1940;;;;;"office@jfsmiddlesex.org";"https://www.jfsmiddlesex.org/";"Jewish Family Services of Middlesex County offers adoption counseling, home studies, post-placement supervision, and post-adoption counseling.";"Adoption Counseling; Home Studies; Post-Placement Supervision; Post-Adoption Counseling";
;"Lutheran Social Ministries of New Jersey - Adoption Program";"Licensed";"3 Manhattan Drive";"Burlington";"NJ";" 08016";(800) 458-0651;"Diane D’Agostino";;;;;"http://www.lsmnj.org/";"Lutheran Social Ministries of New Jersey (LSMNJ) began with the establishment of an orphanage in Jersey City in 1904. The LSMNJ Adoption Program has been a licensed adoption agency since 1948. We offer a multi-faceted statewide adoption program that is focused on building healthy families and supporting all those touched by adoption. We are dedicated to serving all people regardless of faith, income, race, and marital status. We provide compassionate, caring services for all those involved in the adoption process. We place both infants and older children into adoptive homes through our Open Infant Adoption Program and our Waiting Child Adoption Program.";"Homestudy Services; Post Placement Supervision; Adoption Complaint Investigation (ACI); Identified Adoptions; Searches; Workshops and Training";
;"United Family & Children's Society - Adoption Services";"Licensed";"305 West 7th Street";"Plainfield";"NJ";" 07060";(908) 755-4848;;;;;"info@unitedfamily.org";"http://www.unitedfamily.org/";"United Family & Children's Society offers adoption services to prospective adoptive parents and adult adoptees.";"Home Studies; Follow-Up Supervision; Post-adoptive Counseling; Personal Counseling; Placement Referrals; Search";
;"All Age Adoptions Plus";"Licensed";"11811 Menaul Blvd. NE, Suite 5";"Albuquerque";"NM";" 87112";(505) 323-6002;"Carolyn Morgan";;;;"info@adoptionsplus.org";"http://adoptionsplus.org/";"All Age Adoptions Plus believes that every child deserves a home. We are dedicated to bringing children and families together, and providing individual care and attention to everyone that works for us. We are committed to creating a more Joyful world! All Age Adoptions Plus has been fully licensed by the State of New Mexico Children, Youth and Families Department since August 16, 1995 and has been fully Hague Accredited since September 22, 2014. At that time, Cathrine Troy had worked in the social service field for more than sixteen years. She established Joyful World Ministries, Inc. a Christian Ministry as a vehicle for providing services to children and adults. Joyful World Ministries, Inc. is recognized by the IRS 501 (C) (3). Many of the children she worked with were being medicated, diagnosed, treatment teamed, etc. She recognized that what they truly needed was a permanent home and dedicated parent, thus All Age Adoptions Plus was created as a division of the ministry. We have served close to a thousand families of all races, backgrounds and religions. We have placed children from newborn to age fifteen both locally and from around the world. We have contributed to orphanages in several countries.";"Adoption Services";"Step One: Attend a parent training session or if one is not immediately available, schedule a meeting with one of our adoption counselors. Click resources for parent training or Contact Us to set up a time to talk. We look forward to meeting with you to determine your needs and desires and how we can best serve you….or if you are ready to start skip to the next step. Step Two: Submit the Application Packet for your homestudy in person or by mail. Step Three: After your application has been approved, a second Homestudy Packet will be provided to you. Step Four: Interviews and home visits begin after we receive all your Home Study documents. We will also discuss and determine additional parent training needs for the type of adoption that you are doing. Step Five: When your homestudy is complete, you will review and sign it. It is then used for placement with All Age Adoptions Plus and/or we will help you get it to other placing agencies or to your attorney. Step Six: Your child is placed with you by All Age Adoptions Plus, the court or another agency. Step Seven: After your child comes home you will need to complete post-placement services and finalization. To finalize an adoption in New Mexico you will have a post- placement period. All adoptions require some type of post-placement. Step Eight: Post adoption. After your adoption, we are available for any adoption related needs. We offer individual and family counseling, parent coaching and post adoption classes on a variety of topics."
;"Adoption Assistance Agency";"Licensed";"2800 Eubank Blvd. NE";"Albuquerque";"NM";" 87112";(505) 821-7779;;;;;;"http://www.adoptionassistance.org/";"Adoption Assistance Agency exists to help children join families who will love, nurture, protect and embrace them for a lifetime. We believe it is our heavenly Father who creates families and we have seen Him faithfully create so many loving adoptive families. Our non-profit identity enables us to raise charitable funds to accomplish many signifant and worthwhile goals. The first is to defray the costs of birthmothers who plan an adoption and then change their mind. This enables the adoptive family to have their birthmother expense fee apply to another adoption, rather than losing that fee. In addition to helping children find their loving families, we strive to help families of limited means through charitable funds who can only have children through the expensive option of adoption. We offer nurturing, education, counseling, and support for families struggling to overcome challenges. We provide community education for those working with women so that women who become pregnant may have access to full information and make loving, life-giving choices for their children. Women and men who make the courageous and loving choice of placing their child for adoption through Adoption Assistance can receive counseling for issues related to the adoption until the child is 18 as long as the agency is in business. ";"Adoption Services";"Adoption Process for Adoptive Parents: All people wanting to adopt an unrelated child must have a Pre-Placement Study (also called homestudy). Sometimes relatives and stepparents must also have a Pre-Placement Study to adopt a child. It is best to check with a licensed adoption agency, licensed adoption provider or an attorney to see if a Pre-Placement Study is needed. Only agencies and individuals appropriately educated and licensed to provide adoption services may do Pre-Placement Studies, matching for adoption, birthparent counseling and post placement supervision of an adoption. A normal agency adoption by a NM family of a child born in New Mexico through Adoption Assistance Agency, is about $20,500, which includes the application fee, the Pre-Placement Study, the Listing Fee, the Birthmother Expense Fee and the Placement Fee. It does not include legal fees. A Pre-Placement Study takes about 3-4 months to complete. The family has some control over part of the time frame for the homestudy. If approved through the Pre-Placement Study process, the adoptive family will prepare a photo album to be used to introduce them to prospective birthparents. They will be able to view other albums and will determine what pictures and information to share in the album. Birthparents typically select the adoptive family they want for their child. When the adoptive families undergo the homestudy, they are asked what ethnicities they wish to accept and what level of openness with the birthparents they desire. The birthparents (most often the birthmother) are shown the albums of approved adoptive families that match what she is looking for in a family and for whom she is a good match. Since birthparents select the adoptive parents, AAA does not have control over the waiting time to be matched. It could be weeks up to about 2 years. It is best for families to emotionally prepare themselves for a wait of at least 14-15 months, since many families wait this length of time and it is better to plan for longer than to think it will happen right away. We do limit our approved and waiting adoptive family pool to about 20 families. This is the only way we can help assure that no family will wait a really long time. Adoptive parents are notified when they are chosen and are given all of the information that has been obtained on the birthmother and the prospective adoptee. However, it is not possible to have complete medical and historical information on the birthparents at that time. The provision of medical and historical information on the birthparent/s and the child is ongoing as information is obtained. AAA is committed to providing all of the obtainable medical and social background information on the birthparent/s and adoptee to the adoptive family. Open adoption refers to some level of ongoing contact between the birthparent and the adoptive family. It can be as minimal as meeting one time before the birth to meeting on a regular basis. It is NOT co-parenting and should never compromise the ability of the adoptive parents to parent their child. It can refer to only letters and pictures provided to the birthparent/s from the adoptive parents or could involve letters and pictures going both directions. The level of openness and the specific arrangements are determined through a negotiation process through the caseworker. The Adoption Process from the Birthparent Perspective: COUNSELING - One hour session mandated by law.  Average birthmother receives 4 hours of adoption counseling and the average birthfather receives about 2 hours as that is all they are usually available for.  We like to provide more counseling but it is at the request of the birthparent and is discretionary. ADOPTION FACILITATION - Time spent walking a client through various procedures with support.  Examples:  applying for Medicaid, procuring living arrangements, meeting the adoptive family, negotiating open adoption issues, facilitating meeting with attorney for independent legal counsel, transportation/support at hospital/labor & delivery, support for relinquishment process, etc. DOCUMENTS. FOLLOW UP - Follow up with the birthparent is supportive in nature and is at the discretion of the birthparent. Follow up with the adoptive family is called Post Placement Supervision and will be conducted through phone calls and visits to the adoptive home with an assessment of the attachment and bonding occurring between the adoptive family and the adoptee, as well as an assessment of the physical, emotional, and mental care, nurturing and progress of the adoptee.  Near the end of the Post Placement period which normally lasts an average of 4-6 months, but which can vary for a number of reasons, a Post Placement Report for the Court is prepared summarizing the findings of the Post Placment Supervision."
;"A Mother's Choice";"Licensed";"1356 NM 236";"Portales";"NM";" 88130";(575) 356-5372;;;;;"patriciam@nmcch.org";"http://www.amotherschoice.org/";"Finding out that you are pregnant - unplanned, unexpected - may be shocking. You may be scared, disappointed, feeling guilty, embarrassed, alone, and overwhelmed with the decisions you need to make. You may be unsure about what your options are, and have lots of questions. ""A Mother's Choice"" is a licensed New Mexico Adoption Agency. Our purpose in Christian ministry is: to provide a complete range of professional services and confidential, compassionate assistance to birth mothers and fathers; to provide each child we serve a quality adoptive home.";"Adoption Services";"Application Packet - a $4,500 application fee is required with filing and actively retained with the application. Background Checks and Clearances - $4,500 fee payment due. Training and Orientation - New Mexico requires training for all adoptive parents. We have located some high quality, online professional development to provide this adoption pre-placement training and we are also able to provide certificates for any hours of training we provide as well. The online training is provided for the parents to access with an independent company. At this point the adoptive family is expected to pay their next payment of $4,500. Home Study - $4,500 payment is due. As with many states, New Mexico is standardized on the SAFE  process. Our staff are certified and will engage in multiple in-home interviews with all family members. If you reside out-of-state, arrangements will be made on an individual basis to coordinate a SAFE home study.  This will also include a Home Safety Inspection, but don't worry.  We will go over the expectations of the inspection before the inspection so you will know what we are looking for in the Home Safety Checklist. Placement of your new family member!  The final payment of $4,500 is due at this time. Judicial Hearing to create your new relationship."
;"La Familia - Namaste";;"2400 Wellesley Drive NE";"Albuquerque";"NM";" 87107";(505) 766-9361;"Megan M. Walsh";;;;"adoption-director@la-familia-inc.org";"https://www.la-familia-inc.org/";"First, let us congratulate you on taking one of the first steps in the exciting and sometimes complicated process of building a family through adoption. Our primary goal is to help children find permanent, loving, and safe homes within families. We work directly with birth families to provide intensive and comprehensive options counseling in order to help them make decisions based on sound information, love and respect for themselves and their child. La Familia-Namaste's staff understands that adoptive parents have usually undergone an immense amount of emotional and physical challenges prior to seeking adoption services. All services provided by La Familia-Namaste will be focused on empowering adoptive families to explore adoptive parenting issues in a gentle manner that is respectful of the heavy emotional investment. La Familia-Namaste believes that adoption is not a one time event, instead, it is a life long process of growth, commitment and development. To help families deal with adoption as a life experience, La Familia-Namaste provides ongoing professional and peer support.";"Adoption Services";
;"Adoption STAR";"Licensed";"131 John Muir Drive";"Amherst";"NY";" 14228";(716) 639-3900;;;;;"info@adoptionstar.com";"http://www.adoptionstar.com/";"Many people today are lost and confused when it comes to adoption planning. Now there is an agency to offer them guidance! Adoption STAR is a non-profit (501-c3) New York State Authorized, Florida and Ohio Licensed, COA HAGUE Accredited Adoption Agency, and is a compassionate and unique organization providing adoption services to those residing nationwide. ";"Adoption";
