"id";"name";"status";"address";"city";"state";"zip";"phone";"contact";"district_office";"do_phone";"license_no";"Email Address";"Website";"Details";"Services";"Adoption Process"
;"Family Counseling Center, CSRA, Inc.";"Licensed";"3711 Executive Center Drive, Suite 201";"Martinez";"GA";30907;(706) 868-5011;"Krista Williams Marsh";;;"CPA001007";;"http://www.fcccsra.org/";"The Family Counseling Center is a private, non-profit, non-sectarian agency that provides professional counseling services to retired and active service members and residents of the CSRA regardless of their ability to pay.  The Family Counseling Center (FCC) was founded in 1979 by a group of concerned citizens, organized by the United Way of the CSRA, who recognized the need for professional counseling services to serve members of the community who could not afford private mental health care and did not qualify for services provided by state agencies. Since those early days FCC has been a strong partner with the United Way.  The Family Counseling Center has also maintained a close relationship with the CSRA Area Agency on Aging which has graciously given out it's Professional In-home Counseling Grant to us since 1981.  The Family Counseling Center has also partnered with various non-profit organizations from SafeHomes of Augusta, Friendship Community Center, The American Red Cross, and Child Enrichment. In 2009 the Family Counseling Center moved to it's current location in Martinez, GA to better place itself to support all of the CSRA community.  The Family Counseling Center has always maintained an identity as a Social Work mental health practice.  Our counselors have predominantly been Licensed Clinical Social Workers with a vast amounts of experience in dealing with the many struggles that individuals, couples and families deal with every day.  Currently our counselors consist of four social workers and one Licensed Professional Counselor. Our dedicated staff and counselors have always put the needs over the community first.  While our organization accepts insurance based services,  55% of our clientle live at or below the poverty line, normally having no insurance or inadequate coverage.  The majority of those receiving our non-insurance services are women, over half of which have children. These services are essential to the community and serve to shore up the already strained mental health resources of our community.";"Keeping Family Relationships Intact; Assisting Clients In Using Healthy Interventions In Parenting; Helping Clients Choose Life Over Suicide, and Avoiding Institutionalization; Facilitating A Sense Of Independence In Clients; Aiding Clients In Their Personal Lives Including Graduating School And Gaining And/Or Maintaining Meaningful Employment; Developing Support Systems; Helping Our Clients Stop The Cycle Of Abuse And Addiction Within Their Families";
;"Georgia Agape, Inc.";"Licensed";"3094 Mercer University Drive, Ste 200";"Atlanta";"GA";30341;(770) 452-9995;"Joan Zahler";;;"CPA001005";"Joan@GeorgiaAgape.org";"http://www.georgiaagape.org/";"Georgia AGAPE, Inc. is a faith-based, not-for-profit professional organization which has been providing services since 1970. AGAPE is licensed as a “Child Placing Agency” by the Georgia Department of Human Resources and is supported by the Churches of Christ in Georgia, caring individuals, foundations and corporations. As a 501(c)(3) tax exempt organization, all donations not given in exchange for goods or services are tax deductible. We provide adoption services for infant children through our private placement program, and for older children through our foster care program. Adoption services provided through our private placement program feature sensitive and comprehensive work, with birth parents and adoptive parents, in order to meet their needs and comply with legal and licensing requirements. Placements through our foster care program are primarily done in conjunction with the State of Georgia, Department of Family and Children Services, when they hold legal custody of the children. The services and procedures for each program are different.";"Adoption; Foster Care; Unplanned Pregnancy Counseling and Assistance; Professional Christian Counseling Services; Family Life Enrichment Seminars and Workshops";
;"Georgia Baptist Children's Homes and Family Ministries, Inc.";"Licensed";"9250 Hutcheson Ferry Rd.";"Palmetto";"GA";30268;(770) 463-3344;"Debbie Relyea";;;"CPA000997";"drelyea@gbchfm.org";"http://www.gbchfm.org/";"Georgia Baptist Children's Homes & Family Ministries is a Christian caring ministry of services designed to promote the spiritual, physical and emotional well-being of children, youth and families. ";"Child Placement; Family Foster Care; Victory Program; Maternity Care; ";
;"Georgia Parent Support Network, Inc.";"Licensed";"1381 Metropolitan Parkway";"Atlanta";"GA";30310;(404) 758-4500;"Sue L. Smith";;;"CPFC001018";"sue.smith@gpsn.org";"http://www.gpsn.org/";"Georgia Parent Support Network is dedicated to providing support, education, and advocacy for children and their families with mental illness, emotional disturbances, and behavioral differences.";"Therapeutic Foster Care; Transitional Youth Peer Center; Advocacy ";
;"Hillside, Inc-Connections Program";"Licensed";"690 Courtenay Dr.";"Atlanta";"GA";30306;(404) 875-4551;"Kennedy Smith";;;"CPFC001050 ";"ksmith@hside.org";"http://www.hside.org/";"The Hillside Connections Program was developed as a Treatment Foster Care Program to meet the needs of children between the ages of 5 and 21 with emotional and behavioral challenges.   Many of these children have chaotic childhood experiences with little or no exposure to stable family environments and thus need an opportunity to learn family living skills. Children and their caregivers will have an opportunity to tell their story and talk about their strengths and needs with Hillside’s Connections staff. These strengths and needs will be taken into consideration when looking to see if our program has a family that matches these needs. Once the children are in the Connections Program they will have an opportunity to visit with the chosen family and develop a relationship during a pre-placement process to determine if the child and family are a good match for each other. A team is developed to monitor the success of the placement, also a specific staff will work with them on skills needed to regulate emotions, crisis intervention skills, and develop independent living skills. Community based mental health agencies will be targeted to address therapeutic needs for emotional and behavioral problems. Also staff will advocate for any educational needs and develop a plan for success towards completion of high school.  This treatment team will meet regularly to develop goals to continue to work towards the child’s success. ";"Treatment Foster Care";
;"Illien Adoptions International, Inc.";"Licensed";"1250 Piedmont Avenue NE";"Atlanta";"GA";30309;(404) 815-1599;"Anna Belle Illien";;;"CPA001027";"info@illienadotions.org";"http://www.illienadoptions.org/";"It is the mission of Illien Adoptions International, Inc. to find permanent families for abandoned children anywhere in the world and to provide assistance to other neglected and destitute children in need who are not legally abandoned, without limitation to political or geographic boundaries, religion or ethnic origin.";"Adoption Services";
;"Independent Adoption Center Of Georgia, Inc.";"Licensed";"2060 East Exchange Place, Suite 140";"Tucker";"GA";30084;(404) 321-6900;"Evelynne Terry";;;"CPA001021";;"http://www.adoptionhelp.org/";"The Independent Adoption Center is a domestic adoption agency that specializes in open adoption. We provide counseling, case management, and adoption support throughout the adoption process. We also offer free adoption seminars the first Saturday of each month by appointment.";"Adoption Services";
;"Cradle of Love Adoption Counseling and Services";"Licensed";"1501 Johnson Ferry Road, Suite 100";"Marietta";"GA";30062;(800) 219-8254;"Michelle Lambert";;;"CPA001009";"info@cradleoflove.org";"http://www.cradleoflove.org/";"Cradle of Love offers a more comprehensive approach than other adoption agencies. Families who work with us have tremendous resources at their disposal before, during and after adoption. We offer post-adoption social and educational groups, plus a vast referral network of outstanding professionals in such areas as art therapy, child/adolescent counseling, psychological testing, couples therapy, and more. We also provide comprehensive domestic and international home studies that meet state and Immigration and Naturalization Services (I.N.S.) standards. Cradle of Love has more than a century of experience placing children in loving families. Our staff has the experience and professional training to help this process move smoothly. Our Georgia adoption counselors are experienced and licensed in all aspects of the adoption process. We are a nonprofit Georgia adoption agency, licensed and supervised by the State of Georgia, Department of Human Resources. Cradle of Love, Georgia adoption agency, is dedicated to providing professional, comprehensive and confidential services to the triad of birth parent, baby and adoptive parents.";"Birth Parent Support & Services; Adoptive Parent Support & Services; Domestic Home Studies; International Home Studies";
;"Lifeline Children's Services, Inc.";"Licensed";"1922 Hwy 74 Ste D";"Tyrone";"GA";30290;(706) 571-3346;"David Wooten";;;"CPA001038";"David.wooten@lifelinechild.org";"http://lifelinechild.org/";"Lifeline Children’s Services is a full-service adoption and orphan care ministry, serving families and children in the United States and around the globe.  We began as a domestic adoption ministry, caring for women walking through unplanned and often crisis pregnancies. By God’s grace, Lifeline has since grown in ways we never could have imagined.";"Adoption: Domestic Adoption, International Adoption; Foster Care; Crossings; (Un)adopted ";"Each applicant for adoption will be assigned a social worker, who will coordinate services for each family on an individual basis. The greatest effort spent on each couple will be the home study. A home study is a series of interviews in which the social worker concentrates on collecting information via face-to-face contact with each couple. The home study typically consists of an orientation interview followed by 4 home study interviews. 1. The first interview is a home visit in which the social worker will address each of the qualifications for adoption. This is a joint interview. 2. The next visits are individual interviews and are typically held at the LCS office. Both spouses may come on the same day, if they must travel to get to the office. If they are local, each spouse may schedule his or her own interview at his convenience. The interviews will be autobiographical in nature and will be based on an Autobiography written by the applicant. The social worker will ask that you complete this Autobiography prior to this interview. 3. The third interview will focus on parenting philosophies and plans. Issues such as experience and exposure to children, the applicants’ parenting received when they were children, values and discipline will be explored. 4. The fourth interview will focus on adoption education. We will discuss how to educate the child on his or her adoptive status, how to educate others, proper words and timing, books on adoption, trans-racial adoptions, contact with birth parents, background information on any prospective adopted child, completing a profile and many other issues common to adoption. Education is a very important part of the home study process. Each family in the domestic program is required to attend Lifeline’s domestic adoption conference in Birmingham, Alabama. This conference is a two day interactive training which will prepare and equip families for the joys and challenges of domestic adoption. After the home study process is completed, families will begin the matching process. Each family will create a family profile. Family profile’s are shown based on the birth mother’s preferences. Lifeline requires that at a minimum adoptive couples be willing to meet the birth mother before the adoption takes place, and to send correspondence through Lifeline to the birth family after the placement."
;"Lighthouse Therapeutic Foster Care, Inc.";"Licensed";"35 Mountain Street";"Ringgold";"GA";30736;(706) 937-4236;;;;"CPFC001055 ";"kchancey3@gmail.com";;;;
