"id";"name";"status";"address";"city";"state";"zip";"phone";"contact";"district_office";"do_phone";"license_no";"Email Address";"Website";"Details";"Services";"Adoption Process"
;"Applewood Centers Inc. - Foster Care and Adoption Program";"Licensed";"10427 Detroit Avenue";"Cleveland";"OH";44102;(216) 696-6815;"Naeome Harris";;;;;"http://www.applewoodcenters.org/";"Becoming a foster parent is a very special decision to make. Applewood Centers has been dedicated to the care of children since 1886 and we take pride in providing the tools and support to help our foster parents become successful caregivers for children and teens during their time of need. Homes are needed to care for children of all ages, sibling groups and those with behavioral/mental health needs. Becoming a foster parent is not a job, it is community outreach. Unfortunately, children arrive into our care as a result of many issues including, but not limited, neglect, abuse (physical, emotional, sexual) or an unsafe environment. Regardless of the circumstances surrounding why they have come into care, these are still children in need of a community's care. These children are in need of people, such as yourself, to ""show you care"" by becoming a foster parent.";"Foster Care and Adoption";
;"Bair Foundation";"Licensed";"275 Martinel Drive";"Kent";"OH";44240;(330) 673-6339;;;;;;"http://www.bair.org/";"In a perfect world, every child would grow up and be nurtured in a loving, caring family, attend a great school and live in a community that supports their growth. Unfortunately, it’s not a perfect world, child abuse and neglect is real and over 400,000 children are placed in the foster care system each year. The Bair Foundation Child & Family Ministries exists to provide quality care & services in a family setting for children and adolescents who cannot remain with their families. The primary mission of our Foster Care program is to ensure the safety and well-being of foster youth while working with their families of origin in their reunification efforts. We accomplish this with support (Intensive In-Home & Family Services) and/or parental training (B.E.S.T. for Families). When reunification is not possible, our goal is to find an alternative permanent and stable living solution which may include Kinship Care, Adoption, or Independent Living. If adoption is a viable option, The Bair Foundation actively seeks adoptive parents to move toward permanency. Since 1967, The Bair Foundation Child and Family Ministries has brought hope, restoration and family preservation through a partnership of committed individuals, churches, corporations and government agencies. You can help us change the future for this vulnerable population of young people. We are doing all we can, but we can't do it alone. Will you help us be the salt and light to a dark world of child abuse and neglect?";"Foster-to-Adopt; Foster Care - Therapeutic SITFC; Foster Care - Traditional; Foster Care - Medically Needy; Clinical & Intensive In-Home Services; Independent Living";
;"Beech Brook - Foster Care and Adoption";"Licensed";"3737 Lander Rd.";"Cleveland";"OH";44124;(216) 831-2255;;;;;"information@beechbrook.org";"https://www.beechbrook.org/";"Beech Brook has one of the largest foster care programs in the Cleveland area, providing foster care information, training and support for those wishing to become a foster parent and change the life of a child forever. When children must be taken from their families, whether temporarily or permanently, Beech Brook’s network of family and treatment foster homes provide a 24-hour therapeutic environment where healing can begin. More than ever before, children coming into foster care are increasingly troubled, with multiple problems stemming from chronic abuse and neglect, exposure to violence or parental drug and alcohol addiction. Far too many have been moved from place to place, leaving them feeling unwanted, angry and hopeless about their futures.";"Foster Care and Adoption";
;"The Adoption Center at Bellefaire JCB";"Licensed";"22001 Fairmount Blvd.";"Cleveland";"OH";44118;(216) 932-2800;;;;;"infoADP@bellefairejcb.org";"http://www.bellefairejcb.org/";"Adoption provides children with the love and permanency they need and deserve. It can also fill the longing that many families have to complete or expand the circle of love that is family, or can help birthparents find a loving and stable home for their baby. Bellefaire JCB's Adoption program offers different types of adoption including a Hague-Accredited International Adoption Program. Bellefaire JCB is one of the nation's largest, longest-established child placement/adoption agencies. Our adoption specialists are degreed, licensed social workers and certified adoption assessors. Each is committed to delivering individualized support and counsel to address the needs of children, adoptive families and birth parents.";"Waiting Child Adoption; Domestic (Infant) Adoption; Identified Infant Adoption; Self-Directed Infant Adoption;  International Adoption";
;"Brightside Adoption Connection, LLC";"Licensed";"118 W. Streetsboro St, Suite 88";"Hudson";"OH";44236;(800) 745-2198;;;;;"info@brightsideadoption.com";"http://www.brightsideadoption.com/";"Brightside Adoption Connection is a private adoption agency licensed by the State of Ohio, and located in Hudson, Ohio. Leveraging a decade of experience, our staff is comprised of licensed social workers and counselors who hold Bachelor’s and Master’s Degrees in social work, counseling, marriage & family therapy and other adoption related disciplines. These qualifications give us unique insight, compassion and love for birth parents, adoptive families and especially adopted children. Our agency operates under the premise that every child deserves a permanent, loving, and stable family. With that in mind we strive to provide a variety of quality adoption services that encourage appropriate placements for parents and  children. ";"Adoptive Parents Services: Adoption Homestudies; Large Family Assessment; Homestudy; Adoption Placement Services; Expedited Services; Post Placement Services; Homestudy Update; Homestudy Amendment; Adoption Consulting";
;"Building Blocks Adoption Service Inc.";"Licensed";"52 Public Sq";"Medina";"OH";44256;(330) 725-5521;;;;;"denise@bbas.org";"http://bbas.org/";"Building Blocks Adoption Service, Inc. is an licensed Ohio Adoption Service providing private adoption services, including birth parent counseling and assistance. Our Ohio Adoption Service provides one on one Christian adoption services to all U.S. citizens residing in the U.S. Our staff  believes that this is your adoption journey and we are here to provide you with the tools and knowledge necessary to complete an adoption either as a birth parent or an adoptive parent participating in the adoption of a child. We can assist prospective adoptive families through our  newborn  or state waiting adoption programs or if you are seeking to adopt a relative we can guide you through the relative/kinship process as well. We also believe that all birth parents have the right to choose the family they desire for their child. Therefore we support adoptions for singles, traditional and non traditional relationships. Our agency employs State of Ohio licensed adoption assessors that are located throughout the State of Ohio near and around the surrounding areas of Akron Ohio,  Cleveland, Youngstown, Canton,  Toledo, Cincinnati, Dayton, Columbus and Medina Ohio  to counsel parents and birth parents and perform domestic adoption services. Our social workers actively assists pregnant women and adoptive parents in their process of completing an identified, designated or targeted adoptions. Building Blocks Adoption Service Inc. provides social services to all Ohio residents.  There is no mileage fees or classroom attendance  needed for your adoption home study.";"Agency Adoptions; Ohio Adoption Services; Private Adoptions; Identified Adoptions; Assisting Ohio birth mothers; Older Child Adoptions; Relative & Grandparent Adoptions; Stepparent Adoptions; Interstate Compact Adoption: ICPC; Adoption Home Studies; Post Placement Supervision; Birth Parent Counseling; Pregnancy Adoption Help; Pregnancy Adoption Options; Homestudy Services for Embryo Adoption; Referral to Embryo Adoption Services; Open Adoption/Closed Adoption; Referral to legal services for Adoption purposes; Birth mother services and help in Medina, Ohio and  including the entire State of Ohio including areas surrounding Akron OH, Cleveland, Dayton, Youngstown, Columbus, Cincinnati, Medina, Toledo and Canton Ohio";"1. Choose a state licensed adoption professional who will work with you closely to meet your adoption needs. 2. Complete the Building Blocks Adoption Agency Application. 3. Start your adoptive homestudy process. 4. Complete your adoptive profile (for Newborn or Older Child only) with the assistance of one of our awesome graphic designers. 5. Complete your homestudy and adoptive profile. 6. Start the matching process! 7. Become Matched!  8. Attend the birth of the child. 9. Take placement of child 72 hours after birth. 10. Finalize the adoption 6 months after placement!"
;"Bethany Christian Services";;"665 E. Dublin Granville Road, Suite 410";"Columbus";"OH";43229;(614) 448-2885;"Kayla Bosworth";;;;;"https://www.bethany.org/";"Since 1944, Bethany Christian Services has been reaching out to children who are alone or vulnerable. As a worldwide and community leader in adoption and family services, we know that a child's best chance to thrive is as part of a safe, loving, forever family. ";"Pregnancy Support; Infant Adoption; International Adoption";
;"Caring For Kids Inc.";"Licensed";"650 Graham Road, Suite 101";"Cuyahoga Falls";"OH";44221;(330) 928-0044;;;;;"info@cfkadopt.org";"http://cfkadopt.org/";"We are a private, nonprofit adoption, foster care and home study agency licensed in the state of Ohio.  Founded by former foster care parents in 1995, Caring for Kids, Inc. believes that every child, regardless of gender, race, nationality or special need deserves a family. Over the past decade and a half, we have gained a wealth of knowledge and a true understanding of what is most important to our families.  As a child and family-centered agency, our experienced social workers and adoption professionals are dedicated to providing our clients with a wide variety of complete and compassionate services. Caring for Kids, Inc. creates stability for children and families through education and support. Caring for Kids works with 250+ children and 50+ pregnant women a year from all over the state of Ohio. ";"Adoptive and Foster Services: Birth and adoptive parent supportive services; International and domestic home studies;  Pre- and post-placement training; Foster care certification";
;"Caring For Kids Inc.";"Licensed";"5300 E. Main Street, Suite 208";"Columbus";"OH";43213;(330) 928-0044;;;;;"info@cfkadopt.org";"http://cfkadopt.org/";"We are a private, nonprofit adoption, foster care and home study agency licensed in the state of Ohio.  Founded by former foster care parents in 1995, Caring for Kids, Inc. believes that every child, regardless of gender, race, nationality or special need deserves a family. Over the past decade and a half, we have gained a wealth of knowledge and a true understanding of what is most important to our families.  As a child and family-centered agency, our experienced social workers and adoption professionals are dedicated to providing our clients with a wide variety of complete and compassionate services. Caring for Kids, Inc. creates stability for children and families through education and support. Caring for Kids works with 250+ children and 50+ pregnant women a year from all over the state of Ohio. ";"Adoptive and Foster Services: Birth and adoptive parent supportive services; International and domestic home studies;  Pre- and post-placement training; Foster care certification";
;"Catholic Charities Regional Agency";"Licensed";"319 W. Rayen Ave.";"Youngstown";"OH";44502;(330) 744-3320;;;;;;"http://ccdoy.org/";"Through its services to women, children and families, Catholic Charities promotes the pro-life position of the Catholic Church. Historically, Catholic Charities has responded with love and compassion to those who have looked to the Church for help and hope in their time of crisis. Catholic Charities Regional Agency maintains an adoption license and facilitates adoption services and placements on behalf of the four Catholic Charities social service agencies in the Diocese of Youngstown. Thousands of children in the State of Ohio are in the foster care system, waiting for permanent adoption placements. Many of these children are school-aged and/or possess special needs. Catholic Charities believes that finding homes for Ohio’s waiting children should be a priority. A number of children in foster care “age out” of the system each year, meaning that they are released as independent adults at the age of 18. These young adults, many of whom are still in high school, are at-risk for poverty and/or other serious challenges including homelessness, incarceration, and addiction. Catholic Charities believes that offering services to these children preparing for independence without family support should be a priority. With regard to its adoption services, Catholic Charities can provide information to couples interested in adoption, and help pregnant women create an adoption plan if the need is presented. Catholic Charities can also work with parishes to recruit adoptive families for Ohio’s waiting children. In order to protect the rights and the emotional well-being of all parties involved in the adoption process, Catholic Charities will remain faithful to its history of not facilitating open adoptions. Catholic Charities supports the efforts of local organizations through service, advocacy and convening on issues concerning the welfare of children.";"Provide informational packets to those interested in adoption; Make referrals for couples interested in completing a home-study in preparation for an adoption placement; Help pregnant women create an adoption plan, upon request; Work with parishes to recruit adoptive families for Ohio’s waiting children; Support efforts of local organizations through service, advocacy and convening on child welfare issues relative to adoption and foster care; Promote the Pro-Life position of the Catholic Church by encouraging the adoption of children waiting for permanent placement";
